User,Bot
"yes, but i don't know where the orange cones are.", it doesn't matter. here he comes now with the mop.
how much money do you have?,"$1,000."
"she loves you, yeah, yeah, yeah!...",and you know you should be glad!
"oh, yes! ""let it be, let it be""","there will be an answer, let it be!"
what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
it's on the tip of my finger.,a band-aid might not work.
i don't want to date a blind woman.,a blind date doesn't mean that she is blind!
what does it mean?,a blind date is a date with someone you don't know.
what was the third story?,a bull chased a man in a supermarket.
i have no idea.,a button is hard to find. did you look in your pant cuffs?
you need a car with low mileage.,a car that was owned by a little old lady.
you're not going to be buried?,a coffin costs too much and takes up too much space.
a gardening show follows a knitting show.,a cooking show follows a sewing show.
what are you standing on?,a couple of dictionaries and some textbooks.
when did he die?,a couple of months ago.
who invented flossing?,"a dentist, i'm sure."
another family?,a family with only one baby.
"yes, a lot of flags have stripes.",a flag should be pretty.
tell me about it.,a gardening show follows a knitting show.
really? who with?,a girl i met at the market.
the battery was dead.,a good battery would have saved his life.
that isn't a good deal?,a good gun costs $400 or more.
even though they're in black and white.,a good story is more important than color.
yes. that's why it's also the best hamburger in town.,a great burger and great service.
what kind?,a ham sandwich.
why's that?,a hospital is the most dangerous place in the world.
they are so weak.,a little cigarette controls them.
so do i.,"a long time ago, flying used to be okay."
nothing really. how about you?,"a lot, like the party i'm having on friday."
yes. i bought a cadillac.,a luxury car.
why did they do that?,a mad dog bit most of her face off.
who did you go out with?,a man i met in a coffee shop.
how about a movie?,a movie sounds good.
"oh, a laptop, of course.",a pc or a mac?
yes. i called for a clean-up.,a puddle of water is very dangerous.
but you're right. there are a lot of fires.,a recent fire destroyed 85 homes.
what happened?,"a speeding car ran a red light, killing the girl."
what do you mean?,a team of doctors gave her a whole new face.
i'll bet they were drinking.,a third guy punched one of the two guys.
a cooking show follows a sewing show.,a travel show follows another travel show.
"it blows trees over, too.",a tree fell onto my dad's car.
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?
"well, a d is better than an f.",a tutor helped me get the d!
